228,4,time,val
13,3,2,0.001,0.987
13,3,3,0.001,-23.925
14,0,0,0.001,-11.717
14,0,1,0.001,0.812
14,0,2,0.001,-0.021
14,0,3,0.001,-0.000
14,1,0,0.001,0.812
14,1,1,0.001,5.675
14,1,2,0.001,0.647
14,1,3,0.001,0.009
14,2,0,0.001,-0.021
14,2,1,0.001,0.647
14,2,2,0.001,-19.324
14,2,3,0.001,0.985
14,3,0,0.001,-0.000
14,3,1,0.001,0.009
14,3,2,0.001,0.985
14,3,3,0.001,-23.925
15,0,0,0.001,-11.719
15,0,1,0.001,0.797
15,0,2,0.001,-0.022
15,0,3,0.001,-0.000
15,1,0,0.001,0.797
15,1,1,0.001,5.677
15,1,2,0.001,0.624
15,1,3,0.001,0.009
15,2,0,0.001,-0.022
15,2,1,0.001,0.624
15,2,2,0.001,-19.325
15,2,3,0.001,0.984
15,3,0,0.001,-0.000
15,3,1,0.001,0.009
15,3,2,0.001,0.984
15,3,3,0.001,-23.926
16,0,0,0.001,-11.720
16,0,1,0.001,0.782
16,0,2,0.001,-0.024
16,0,3,0.001,-0.000
16,1,0,0.001,0.782
16,1,1,0.001,5.680
16,1,2,0.001,0.600
16,1,3,0.001,0.009
16,2,0,0.001,-0.024
16,2,1,0.001,0.600
16,2,2,0.001,-19.326
16,2,3,0.001,0.983
16,3,0,0.001,-0.000
16,3,1,0.001,0.009
16,3,2,0.001,0.983
16,3,3,0.001,-23.926
17,0,0,0.001,-11.721
17,0,1,0.001,0.768
17,0,2,0.001,-0.025
17,0,3,0.001,-0.000
17,1,0,0.001,0.768
17,1,1,0.001,5.682
17,1,2,0.001,0.577
17,1,3,0.001,0.009
17,2,0,0.001,-0.025
17,2,1,0.001,0.577
17,2,2,0.001,-19.326
17,2,3,0.001,0.982
17,3,0,0.001,-0.000
17,3,1,0.001,0.009
17,3,2,0.001,0.982
17,3,3,0.001,-23.927
18,0,0,0.001,-11.723
18,0,1,0.001,0.753
18,0,2,0.001,-0.026
18,0,3,0.001,-0.000
18,1,0,0.001,0.753
18,1,1,0.001,5.684
18,1,2,0.001,0.553
18,1,3,0.001,0.010
18,2,0,0.001,-0.026
18,2,1,0.001,0.553
18,2,2,0.001,-19.327
18,2,3,0.001,0.980
18,3,0,0.001,-0.000
18,3,1,0.001,0.010
18,3,2,0.001,0.980
18,3,3,0.001,-23.927
19,0,0,0.001,-11.724
19,0,1,0.001,0.738
19,0,2,0.001,-0.027
19,0,3,0.001,-0.000
19,1,0,0.001,0.738
19,1,1,0.001,5.687
19,1,2,0.001,0.530
19,1,3,0.001,0.010
19,2,0,0.001,-0.027
19,2,1,0.001,0.530
19,2,2,0.001,-19.327
19,2,3,0.001,0.979
19,3,0,0.001,-0.000
19,3,1,0.001,0.010
19,3,2,0.001,0.979
19,3,3,0.001,-23.928
20,0,0,0.001,-11.725
20,0,1,0.001,0.722
20,0,2,0.001,-0.028
20,0,3,0.001,-0.000
20,1,0,0.001,0.722
20,1,1,0.001,5.689
20,1,2,0.001,0.508
20,1,3,0.001,0.010
20,2,0,0.001,-0.028
20,2,1,0.001,0.508
20,2,2,0.001,-19.328
20,2,3,0.001,0.977
20,3,0,0.001,-0.000
20,3,1,0.001,0.010
20,3,2,0.001,0.977
20,3,3,0.001,-23.929
21,0,0,0.001,-11.726
21,0,1,0.001,0.707
21,0,2,0.001,-0.029
21,0,3,0.001,-0.000
21,1,0,0.001,0.707
21,1,1,0.001,5.691
21,1,2,0.001,0.485
21,1,3,0.001,0.010
21,2,0,0.001,-0.029
21,2,1,0.001,0.485
21,2,2,0.001,-19.328
21,2,3,0.001,0.976
21,3,0,0.001,-0.000
21,3,1,0.001,0.010
21,3,2,0.001,0.976
21,3,3,0.001,-23.929
22,0,0,0.001,-11.728
22,0,1,0.001,0.691
22,0,2,0.001,-0.030
22,0,3,0.001,-0.000
22,1,0,0.001,0.691
22,1,1,0.001,5.693
22,1,2,0.001,0.463
22,1,3,0.001,0.010
22,2,0,0.001,-0.030
22,2,1,0.001,0.463
22,2,2,0.001,-19.328
22,2,3,0.001,0.974
22,3,0,0.001,-0.000
22,3,1,0.001,0.010
22,3,2,0.001,0.974
22,3,3,0.001,-23.930
23,0,0,0.001,-11.729
23,0,1,0.001,0.675
23,0,2,0.001,-0.031
23,0,3,0.001,-0.000
23,1,0,0.001,0.675
23,1,1,0.001,5.695
23,1,2,0.001,0.441
23,1,3,0.001,0.010
23,2,0,0.001,-0.031
23,2,1,0.001,0.441
23,2,2,0.001,-19.328
23,2,3,0.001,0.973
23,3,0,0.001,-0.000
23,3,1,0.001,0.010
23,3,2,0.001,0.973
23,3,3,0.001,-23.930
24,0,0,0.001,-11.730
24,0,1,0.001,0.659
24,0,2,0.001,-0.032
24,0,3,0.001,-0.000
24,1,0,0.001,0.659
24,1,1,0.001,5.697
24,1,2,0.001,0.420
24,1,3,0.001,0.010
24,2,0,0.001,-0.032
24,2,1,0.001,0.420
24,2,2,0.001,-19.328
24,2,3,0.001,0.971
24,3,0,0.001,-0.000
24,3,1,0.001,0.010
24,3,2,0.001,0.971
24,3,3,0.001,-23.931
25,0,0,0.001,-11.731
25,0,1,0.001,0.641
25,0,2,0.001,-0.032
25,0,3,0.001,-0.000
25,1,0,0.001,0.641
25,1,1,0.001,5.699
25,1,2,0.001,0.396
25,1,3,0.001,0.010
25,2,0,0.001,-0.032
25,2,1,0.001,0.396
25,2,2,0.001,-19.328
25,2,3,0.001,0.969
25,3,0,0.001,-0.000
25,3,1,0.001,0.010
25,3,2,0.001,0.969
25,3,3,0.001,-23.932
26,0,0,0.002,-11.733
26,0,1,0.002,0.623
26,0,2,0.002,-0.033
26,0,3,0.002,-0.000
26,1,0,0.002,0.623
26,1,1,0.002,5.701
26,1,2,0.002,0.373
26,1,3,0.002,0.010
26,2,0,0.002,-0.033
26,2,1,0.002,0.373
26,2,2,0.002,-19.328
26,2,3,0.002,0.967
26,3,0,0.002,-0.000
26,3,1,0.002,0.010
26,3,2,0.002,0.967
26,3,3,0.002,-23.933
27,0,0,0.002,-11.734
27,0,1,0.002,0.604
27,0,2,0.002,-0.034
27,0,3,0.002,-0.000
27,1,0,0.002,0.604
27,1,1,0.002,5.703
27,1,2,0.002,0.350
27,1,3,0.002,0.010
27,2,0,0.002,-0.034
27,2,1,0.002,0.350
27,2,2,0.002,-19.328
27,2,3,0.002,0.965
27,3,0,0.002,-0.000
27,3,1,0.002,0.010
27,3,2,0.002,0.965
27,3,3,0.002,-23.934
28,0,0,0.002,-11.735
28,0,1,0.002,0.585
28,0,2,0.002,-0.035
28,0,3,0.002,-0.001
28,1,0,0.002,0.585
28,1,1,0.002,5.705
28,1,2,0.002,0.328
28,1,3,0.002,0.010
28,2,0,0.002,-0.035
28,2,1,0.002,0.328
28,2,2,0.002,-19.328
28,2,3,0.002,0.963
28,3,0,0.002,-0.001
28,3,1,0.002,0.010
28,3,2,0.002,0.963
28,3,3,0.002,-23.934
29,0,0,0.002,-11.737
29,0,1,0.002,0.566
29,0,2,0.002,-0.035
29,0,3,0.002,-0.001
29,1,0,0.002,0.566
29,1,1,0.002,5.707
29,1,2,0.002,0.306
29,1,3,0.002,0.009
29,2,0,0.002,-0.035
29,2,1,0.002,0.306
29,2,2,0.002,-19.327
29,2,3,0.002,0.961
29,3,0,0.002,-0.001
29,3,1,0.002,0.009
29,3,2,0.002,0.961
29,3,3,0.002,-23.935
