163,4,time,val
65,0,6.543,0.786
65,1,6.543,3.547
65,2,6.543,2.113
65,3,6.543,-1.531
66,0,6.644,0.786
66,1,6.644,3.545
66,2,6.644,2.113
66,3,6.644,-1.529
67,0,6.744,0.786
67,1,6.744,3.541
67,2,6.744,2.113
67,3,6.744,-1.525
68,0,6.808,0.786
68,1,6.808,3.545
68,2,6.808,2.113
68,3,6.808,-1.529
69,0,6.871,0.786
69,1,6.871,3.547
69,2,6.871,2.113
69,3,6.871,-1.531
70,0,6.971,0.786
70,1,6.971,3.545
70,2,6.971,2.113
70,3,6.971,-1.529
71,0,7.070,0.786
71,1,7.070,3.541
71,2,7.070,2.113
71,3,7.070,-1.525
72,0,7.134,0.786
72,1,7.134,3.545
72,2,7.134,2.113
72,3,7.134,-1.529
73,0,7.198,0.786
73,1,7.198,3.547
73,2,7.198,2.113
73,3,7.198,-1.531
74,0,7.297,0.786
74,1,7.297,3.545
74,2,7.297,2.113
74,3,7.297,-1.529
75,0,7.395,0.786
75,1,7.395,3.542
75,2,7.395,2.113
75,3,7.395,-1.525
76,0,7.460,0.786
76,1,7.460,3.545
76,2,7.460,2.113
76,3,7.460,-1.529
77,0,7.524,0.786
77,1,7.524,3.547
77,2,7.524,2.113
77,3,7.524,-1.531
78,0,7.622,0.786
78,1,7.622,3.545
78,2,7.622,2.113
78,3,7.622,-1.529
79,0,7.719,0.786
79,1,7.719,3.542
79,2,7.719,2.113
79,3,7.719,-1.526
80,0,7.784,0.786
80,1,7.784,3.545
80,2,7.784,2.113
80,3,7.784,-1.529
81,0,7.849,0.786
81,1,7.849,3.547
81,2,7.849,2.113
81,3,7.849,-1.531
82,0,7.946,0.786
82,1,7.946,3.545
82,2,7.946,2.113
82,3,7.946,-1.529
83,0,8.042,0.786
83,1,8.042,3.542
83,2,8.042,2.113
83,3,8.042,-1.526
84,0,8.107,0.786
84,1,8.107,3.545
84,2,8.107,2.113
84,3,8.107,-1.529
85,0,8.173,0.786
85,1,8.173,3.547
85,2,8.173,2.113
85,3,8.173,-1.531
86,0,8.268,0.786
86,1,8.268,3.545
86,2,8.268,2.113
86,3,8.268,-1.529
87,0,8.364,0.786
87,1,8.364,3.542
87,2,8.364,2.113
87,3,8.364,-1.526
88,0,8.430,0.786
88,1,8.430,3.545
88,2,8.430,2.113
88,3,8.430,-1.529
89,0,8.495,0.786
89,1,8.495,3.547
89,2,8.495,2.113
89,3,8.495,-1.531
90,0,8.590,0.786
90,1,8.590,3.545
90,2,8.590,2.113
90,3,8.590,-1.529
91,0,8.685,0.786
91,1,8.685,3.542
91,2,8.685,2.113
91,3,8.685,-1.526
92,0,8.751,0.786
92,1,8.751,3.545
92,2,8.751,2.113
92,3,8.751,-1.529
93,0,8.817,0.786
93,1,8.817,3.547
93,2,8.817,2.113
93,3,8.817,-1.531
94,0,8.912,0.786
94,1,8.912,3.545
94,2,8.912,2.113
94,3,8.912,-1.529
95,0,9.006,0.786
95,1,9.006,3.542
95,2,9.006,2.113
95,3,9.006,-1.526
96,0,9.072,0.786
96,1,9.072,3.545
96,2,9.072,2.113
96,3,9.072,-1.529
97,0,9.138,0.786
97,1,9.138,3.547
97,2,9.138,2.113
97,3,9.138,-1.530
98,0,9.232,0.786
98,1,9.232,3.545
