121,4,time,val
13,3,3,0.142,-0.205
14,0,0,0.157,2.320
14,0,1,0.157,0.952
14,0,2,0.157,-0.094
14,0,3,0.157,-0.010
14,1,0,0.157,0.952
14,1,1,0.157,1.917
14,1,2,0.157,0.803
14,1,3,0.157,0.060
14,2,0,0.157,-0.094
14,2,1,0.157,0.803
14,2,2,0.157,0.502
14,2,3,0.157,0.915
14,3,0,0.157,-0.010
14,3,1,0.157,0.060
14,3,2,0.157,0.915
14,3,3,0.157,-0.224
15,0,0,0.172,2.331
15,0,1,0.172,0.946
15,0,2,0.172,-0.101
15,0,3,0.172,-0.012
15,1,0,0.172,0.946
15,1,1,0.172,1.933
15,1,2,0.172,0.784
15,1,3,0.172,0.064
15,2,0,0.172,-0.101
15,2,1,0.172,0.784
15,2,2,0.172,0.493
15,2,3,0.172,0.905
15,3,0,0.172,-0.012
15,3,1,0.172,0.064
15,3,2,0.172,0.905
15,3,3,0.172,-0.242
16,0,0,0.187,2.342
16,0,1,0.187,0.940
16,0,2,0.187,-0.108
16,0,3,0.187,-0.014
16,1,0,0.187,0.940
16,1,1,0.187,1.949
16,1,2,0.187,0.765
16,1,3,0.187,0.067
16,2,0,0.187,-0.108
16,2,1,0.187,0.765
16,2,2,0.187,0.484
16,2,3,0.187,0.895
16,3,0,0.187,-0.014
16,3,1,0.187,0.067
16,3,2,0.187,0.895
16,3,3,0.187,-0.261
17,0,0,0.202,2.354
17,0,1,0.202,0.933
17,0,2,0.202,-0.115
17,0,3,0.202,-0.016
17,1,0,0.202,0.933
17,1,1,0.202,1.965
17,1,2,0.202,0.746
17,1,3,0.202,0.071
17,2,0,0.202,-0.115
17,2,1,0.202,0.746
17,2,2,0.202,0.475
17,2,3,0.202,0.884
17,3,0,0.202,-0.016
17,3,1,0.202,0.071
17,3,2,0.202,0.884
17,3,3,0.202,-0.279
18,0,0,0.218,2.365
18,0,1,0.218,0.926
18,0,2,0.218,-0.121
18,0,3,0.218,-0.018
18,1,0,0.218,0.926
18,1,1,0.218,1.980
18,1,2,0.218,0.726
18,1,3,0.218,0.073
18,2,0,0.218,-0.121
18,2,1,0.218,0.726
18,2,2,0.218,0.468
18,2,3,0.218,0.873
18,3,0,0.218,-0.018
18,3,1,0.218,0.073
18,3,2,0.218,0.873
18,3,3,0.218,-0.298
19,0,0,0.231,2.375
19,0,1,0.231,0.920
19,0,2,0.231,-0.126
19,0,3,0.231,-0.019
19,1,0,0.231,0.920
19,1,1,0.231,1.993
19,1,2,0.231,0.710
19,1,3,0.231,0.075
19,2,0,0.231,-0.126
19,2,1,0.231,0.710
19,2,2,0.231,0.461
19,2,3,0.231,0.863
19,3,0,0.231,-0.019
19,3,1,0.231,0.075
19,3,2,0.231,0.863
19,3,3,0.231,-0.314
20,0,0,0.245,2.385
20,0,1,0.245,0.914
20,0,2,0.245,-0.131
20,0,3,0.245,-0.021
20,1,0,0.245,0.914
20,1,1,0.245,2.006
20,1,2,0.245,0.693
20,1,3,0.245,0.077
20,2,0,0.245,-0.131
20,2,1,0.245,0.693
20,2,2,0.245,0.455
20,2,3,0.245,0.853
20,3,0,0.245,-0.021
20,3,1,0.245,0.077
20,3,2,0.245,0.853
20,3,3,0.245,-0.331
21,0,0,0.259,2.394
21,0,1,0.259,0.908
21,0,2,0.259,-0.136
21,0,3,0.259,-0.022
21,1,0,0.259,0.908
21,1,1,0.259,2.018
21,1,2,0.259,0.676
21,1,3,0.259,0.078
21,2,0,0.259,-0.136
21,2,1,0.259,0.676
21,2,2,0.259,0.449
21,2,3,0.259,0.843
21,3,0,0.259,-0.022
21,3,1,0.259,0.078
21,3,2,0.259,0.843
21,3,3,0.259,-0.347
22,0,0,0.274,2.404
22,0,1,0.274,0.901
22,0,2,0.274,-0.140
22,0,3,0.274,-0.024
22,1,0,0.274,0.901
22,1,1,0.274,2.029
22,1,2,0.274,0.659
22,1,3,0.274,0.079
22,2,0,0.274,-0.140
22,2,1,0.274,0.659
22,2,2,0.274,0.444
22,2,3,0.274,0.832
22,3,0,0.274,-0.024
22,3,1,0.274,0.079
22,3,2,0.274,0.832
22,3,3,0.274,-0.363
23,0,0,0.281,2.410
23,0,1,0.281,0.897
23,0,2,0.281,-0.141
23,0,3,0.281,-0.025
23,1,0,0.281,0.897
23,1,1,0.281,2.036
23,1,2,0.281,0.650
23,1,3,0.281,0.079
23,2,0,0.281,-0.141
23,2,1,0.281,0.650
23,2,2,0.281,0.441
23,2,3,0.281,0.826
23,3,0,0.281,-0.025
23,3,1,0.281,0.079
23,3,2,0.281,0.826
23,3,3,0.281,-0.372
24,0,0,0.289,2.415
24,0,1,0.289,0.894
24,0,2,0.289,-0.143
24,0,3,0.289,-0.025
24,1,0,0.289,0.894
24,1,1,0.289,2.042
24,1,2,0.289,0.641
24,1,3,0.289,0.079
24,2,0,0.289,-0.143
24,2,1,0.289,0.641
24,2,2,0.289,0.439
24,2,3,0.289,0.820
24,3,0,0.289,-0.025
