121,4,time,val
56,0,0.559,2.58992601
56,1,0.559,2.13586120
56,2,0.559,0.43511528
56,3,0.559,-0.64638249
57,0,0.569,2.59611024
57,1,0.569,2.13553889
57,2,0.569,0.43702397
57,3,0.569,-0.65415311
58,0,0.579,2.60239731
58,1,0.579,2.13498820
58,2,0.579,0.43903869
58,3,0.579,-0.66190420
59,0,0.589,2.60879566
59,1,0.589,2.13420279
59,2,0.589,0.44115802
59,3,0.589,-0.66963647
60,0,0.599,2.61531440
60,1,0.599,2.13317560
60,2,0.599,0.44338052
60,3,0.599,-0.67735052
61,0,0.609,2.62196331
61,1,0.609,2.13189878
61,2,0.609,0.44570469
61,3,0.609,-0.68504678
62,0,0.620,2.62875293
62,1,0.620,2.13036363
62,2,0.620,0.44812896
62,3,0.620,-0.69272552
63,0,0.631,2.63569466
63,1,0.631,2.12856048
63,2,0.631,0.45065165
63,3,0.631,-0.70038680
64,0,0.642,2.64280081
64,1,0.642,2.12647867
64,2,0.642,0.45327100
64,3,0.642,-0.70803049
65,0,0.653,2.65008475
65,1,0.653,2.12410637
65,2,0.653,0.45598510
65,3,0.653,-0.71565622
66,0,0.665,2.65756098
66,1,0.665,2.12143052
66,2,0.665,0.45879188
66,3,0.665,-0.72326337
67,0,0.677,2.66524530
67,1,0.677,2.11843668
67,2,0.677,0.46168910
67,3,0.677,-0.73085107
68,0,0.689,2.67315495
68,1,0.689,2.11510888
68,2,0.689,0.46467433
68,3,0.689,-0.73841816
69,0,0.702,2.68130883
69,1,0.702,2.11142944
69,2,0.702,0.46774490
69,3,0.702,-0.74596317
70,0,0.715,2.68972765
70,1,0.715,2.10737878
70,2,0.715,0.47089792
70,3,0.715,-0.75348436
71,0,0.728,2.69843429
71,1,0.728,2.10293516
71,2,0.728,0.47413023
71,3,0.728,-0.76097968
72,0,0.742,2.70745406
72,1,0.742,2.09807434
72,2,0.742,0.47743841
72,3,0.742,-0.76844680
73,0,0.756,2.71681516
73,1,0.756,2.09276927
73,2,0.756,0.48081875
73,3,0.756,-0.77588318
74,0,0.771,2.72654922
74,1,0.771,2.08698953
74,2,0.771,0.48426735
74,3,0.771,-0.78328609
75,0,0.785,2.73569888
75,1,0.785,2.08131987
75,2,0.785,0.48743800
75,3,0.785,-0.78993675
76,0,0.799,2.74525606
76,1,0.799,2.07517755
76,2,0.799,0.49067216
76,3,0.799,-0.79658577
77,0,0.814,2.75521704
77,1,0.814,2.06855221
77,2,0.814,0.49395309
77,3,0.814,-0.80320234
78,0,0.830,2.76561864
78,1,0.830,2.06140772
78,2,0.830,0.49727661
78,3,0.830,-0.80978297
79,0,0.846,2.77650101
79,1,0.846,2.05370432
79,2,0.846,0.50063789
79,3,0.846,-0.81632323
80,0,0.863,2.78791051
80,1,0.863,2.04539652
80,2,0.863,0.50403204
80,3,0.863,-0.82281907
81,0,0.881,2.79990151
81,1,0.881,2.03643137
81,2,0.881,0.50745434
81,3,0.881,-0.82926721
82,0,0.905,2.81638974
82,1,0.905,2.02378184
82,2,0.905,0.51193650
82,3,0.905,-0.83758808
83,0,0.930,2.83318302
83,1,0.930,2.01051196
83,2,0.930,0.51621239
83,3,0.930,-0.84538737
84,0,0.956,2.85036723
84,1,0.956,1.99657936
84,2,0.956,0.52029361
84,3,0.956,-0.85272020
85,0,0.982,2.86787880
85,1,0.982,1.98205835
85,2,0.982,0.52415723
85,3,0.982,-0.85957437
86,0,1.026,2.89680496
86,1,1.026,1.95756009
86,2,1.026,0.53000406
86,3,1.026,-0.86984911
87,0,1.070,2.92460447
87,1,1.070,1.93338553
87,2,1.070,0.53492384
87,3,1.070,-0.87839384
88,0,1.112,2.95106899
88,1,1.112,1.90991043
88,2,1.112,0.53903061
88,3,1.112,-0.88549003
89,0,1.155,2.97622199
89,1,1.155,1.88726163
89,2,1.155,0.54246387
89,3,1.155,-0.89142749
90,0,1.186,2.99369887
90,1,1.186,1.87134792
90,2,1.186,0.54458348
90,3,1.186,-0.89511027
91,0,1.217,3.01031274
91,1,1.217,1.85612072
91,2,1.217,0.54642949
91,3,1.217,-0.89834295
92,0,1.248,3.02595405
92,1,1.248,1.84170856
92,2,1.248,0.54802544
92,3,1.248,-0.90116806
93,0,1.279,3.04066274
93,1,1.279,1.82809794
93,2,1.279,0.54940699
93,3,1.279,-0.90364767
94,0,1.310,3.05447625
